,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
0,Condo for sale,315000,2,2.0,1400.0,New York,Manhattan,40.761253,-73.97448,Manhattan,10022,Douglas Elliman
1,Condo for sale,195000000,7,10.0,17545.0,New York,New York County,40.76639,-73.98099,Manhattan,10019,Serhant
2,House for sale,260000,4,2.0,2015.0,New York,Richmond County,40.541805,-74.196106,Staten Island,10312,Sowae Corp
3,Condo for sale,69000,3,1.0,445.0,New York,New York County,40.7614,-73.97461,Manhattan,10022,COMPASS
4,House for sale,690000,5,2.0,4004.0,New York,Kings County,40.674362,-73.958725,Brooklyn,11238,Sowae Corp
5,Condo for sale,899500,2,2.0,2184.2078,New York County,New York,40.80945,-73.94678,Manhattan,10027,Douglas Elliman
6,House for sale,16800000,8,16.0,33000.0,New York,Richmond County,40.595,-74.10642,Staten Island,10304,Other
7,Co-op for sale,265000,1,1.0,750.0,The Bronx,East Bronx,40.821587,-73.87409,Bronx,10473,Other
8,Co-op for sale,440000,2,1.0,978.0,Kings County,Brooklyn,40.615738,-73.969696,Brooklyn,11230,Century 21
9,Co-op for sale,375000,2,1.0,850.0,Bronx County,The Bronx,40.82487,-73.92298,Bronx,10451,Other
10,Co-op for sale,259000,3,1.0,2184.2078,Queens County,Queens,40.75312,-73.881874,Queens,11372,COMPASS
11,Co-op for sale,430000,2,2.0,2184.2078,Queens County,Queens,40.743862,-73.87457,Queens,11373,Other
12,Co-op for sale,895000,3,1.0,2184.2078,New York County,New York,40.738297,-74.00589,Manhattan,10014,Corcoran
13,Condo for sale,549000,2,2.0,1000.0,Richmond County,Staten Island,40.540623,-74.16716,Staten Island,10312,Other
14,Townhouse for sale,975000,3,2.0,1734.0,New York,Queens County,40.76077,-73.90567,Queens,11377,Other
15,Co-op for sale,199000,3,1.0,325.0,Kings County,Brooklyn,40.618103,-74.0369,Brooklyn,11209,Other
16,Co-op for sale,350000,1,1.0,700.0,Bronx County,The Bronx,40.90737,-73.906555,Bronx,10471,Coldwell Banker
17,Condo for sale,599000,2,2.0,974.0,Queens County,Queens,40.73247,-73.86708,Queens,11374,Keller Williams
18,House for sale,639999,3,2.0,1260.0,New York,Richmond County,40.62074,-74.111435,Staten Island,10301,Other
19,Condo for sale,1300000,2,2.0,1244.0,Queens County,Queens,40.72024,-73.84305,Other,11375,Other
20,Multi-family home for sale,1100000,6,3.0,2837.0,New York,Bronx County,40.834393,-73.82211,Bronx,10465,Keller Williams
21,Condo for sale,349900,1,1.0,651.0,Richmond County,Staten Island,40.590206,-74.0958,Staten Island,10304,Other
22,House for sale,750000,2,2.0,1330.0,New York,Richmond County,40.50398,-74.239655,Staten Island,10307,Other
23,Multi-family home for sale,1690000,6,4.0,2200.0,New York,Queens County,40.71075,-73.80949,Other,11435,Century 21
24,Co-op for sale,325000,1,1.0,2184.2078,Queens County,Queens,40.750507,-73.88513,Queens,11372,Nest Seekers International
25,Co-op for sale,230000,1,1.0,2184.2078,New York,Queens County,40.755768,-73.87342,Queens,11372,Other
26,Multi-family home for sale,1299888,10,6.0,3156.0,Richmond County,Staten Island,40.615566,-74.08695,Staten Island,10304,Other
27,Multi-family home for sale,925000,5,2.0,2750.0,New York,Bronx County,40.824238,-73.81738,Bronx,10465,NoBroker
28,Condo for sale,329000,1,2.0,794.0,New York,Richmond County,40.62104,-74.15043,Staten Island,10314,Other
29,Multi-family home for sale,1300000,10,8.0,5040.0,Richmond County,Staten Island,40.627438,-74.158165,Staten Island,10303,Other
30,Multi-family home for sale,848000,5,4.0,2080.0,New York,Kings County,40.66155,-73.89831,Brooklyn,11207,RE/MAX
31,Co-op for sale,279000,1,1.0,750.0,Kings County,Brooklyn,40.617916,-73.95463,Brooklyn,11230,Other
32,Condo for sale,528000,1,1.0,602.0,Kings County,Brooklyn,40.62759,-74.00162,Brooklyn,11219,Other
33,Multi-family home for sale,1299888,11,4.0,3156.0,Richmond County,Staten Island,40.615566,-74.08695,Staten Island,10304,Other
34,Co-op for sale,275000,1,1.0,2184.2078,Queens County,Queens,40.752876,-73.82118,Queens,11355,E Realty International
35,Condo for sale,1165000,1,1.0,815.0,Kings County,Brooklyn,40.711967,-73.96495,Brooklyn,11249,Corcoran
36,Multi-family home for sale,1199000,6,5.0,3290.0,New York,Richmond County,40.515926,-74.236115,Staten Island,10307,Other
37,Multi-family home for sale,700000,6,2.0,3053.0,New York,Bronx County,40.852814,-73.91769,Bronx,10453,eXp Realty
38,Multi-family home for sale,2150000,8,4.0,3200.0,New York,Kings County,40.614445,-73.97958,Brooklyn,11204,Century 21
39,Multi-family home for sale,1280000,7,5.0,2460.0,New York,Queens County,40.688313,-73.85632,Other,11421,E Realty International
40,Co-op for sale,199900,1,1.0,2184.2078,Bronx County,The Bronx,40.826035,-73.92566,Bronx,10451,Brown Harris Stevens
41,Co-op for sale,369000,2,1.0,2184.2078,Queens County,Queens,40.753456,-73.82091,Queens,11355,Winzone Realty
42,Multi-family home for sale,699000,4,3.0,1591.0,New York,Queens County,40.68475,-73.802734,Queens,11435,Other
43,Co-op for sale,4250000,3,2.0,2400.0,New York County,New York,40.725464,-73.99992,Manhattan,10012,Brown Harris Stevens
44,Multi-family home for sale,825000,2,2.0,2184.2078,New York,Queens County,40.768456,-73.78941,Queens,11358,Other
45,Condo for sale,329000,2,1.0,837.0,Richmond County,Staten Island,40.631535,-74.08563,Staten Island,10304,American Homes Group
46,Multi-family home for sale,889000,2,2.0,1520.0,New York,Richmond County,40.623318,-74.12599,Staten Island,10314,Other
47,Multi-family home for sale,769000,2,2.0,2184.2078,New York,Queens County,40.686832,-73.83091,Other,11419,Other
48,Multi-family home for sale,1200000,4,2.0,2536.0,New York,Kings County,40.604286,-74.00125,Brooklyn,11214,eXp Realty
49,Co-op for sale,220500,2,1.0,900.0,Richmond County,Staten Island,40.648148,-74.0848,Staten Island,10301,Other
50,Multi-family home for sale,1999000,3,3.0,2739.0,New York,Kings County,40.62817,-74.02976,Brooklyn,11209,RE/MAX
51,Co-op for sale,3250000,2,2.0,1300.0,New York,Manhattan,40.71997,-73.998024,Manhattan,10013,Douglas Elliman
52,Condo for sale,1650000,2,2.0,1267.0,Kings County,Brooklyn,40.68661,-73.99971,Brooklyn,11231,Douglas Elliman
53,Multi-family home for sale,1049000,4,4.0,2554.0,New York,Richmond County,40.501625,-74.24175,Staten Island,10307,"Homes R Us Realty of NY, Inc."
54,House for sale,998800,3,4.0,2400.0,New York,Richmond County,40.6175,-74.104,Staten Island,10301,American Homes Group
55,House for sale,998800,3,4.0,2400.0,United States,New York,40.61865,-74.101906,Staten Island,10301,American Homes Group
56,For sale,3150000,3,2.0,1952.0,Kings County,Brooklyn,40.675404,-73.974205,Brooklyn,11217,Douglas Elliman
57,Co-op for sale,849000,1,1.0,2184.2078,New York County,New York,40.780235,-73.984634,Manhattan,10023,Brown Harris Stevens
58,Co-op for sale,559500,1,1.0,800.0,Kings County,Brooklyn,40.575195,-73.966995,Brooklyn,11235,Other
59,Co-op for sale,750000,1,1.0,835.0,New York County,New York,40.76437,-73.95936,Manhattan,10065,Douglas Elliman
